# This is a dataframe of the used to calculate anomalies for the 290solar varing-co2 group. Used for:
# - ??
STARTtime,ENDtime,NETtoa,NETsurf,SWtoa,LWtoa,SWsurf,LWsurf,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
859680000.0,945993600.0,0.106724134939725,0.002248603202588129,-247.1335678628101,247.24029199774984,-207.98747555294528,153.18628672476748,31.91850938890786,22.884928042472467,269.0707342610684,1.1031039071518558,0.0,2,290
859680000.0,945993600.0,0.0995759954372204,0.002401195968108283,-247.2747438193183,247.37431981475552,-206.19047557830106,147.92110214826687,35.75420078970541,22.517573836296894,270.7753819981175,1.2356655812034518,0.0,5,290
859680000.0,945993600.0,0.08962775805417778,0.0018734076047017825,-247.38394122501663,247.47356898307083,-204.77829679179627,143.84882010478987,39.32775616031002,21.603593934301077,272.1121484422467,1.3591674488155332,0.0,10,290
859680000.0,945993600.0,0.07386714438408147,2.2147964706675797e-05,-247.48994295149083,247.56381009587486,-203.3879085033581,140.15912800115512,42.347194495112326,20.881608155055368,273.49291703308097,1.4635191099473013,0.0,20,290
859680000.0,945993600.0,0.043510304191585185,-0.003988583529988432,-247.66236471960832,247.70587502379985,-201.179102508382,134.24916437476443,47.10043528568371,19.825514264403886,275.46934767620314,1.6277905601815224,0.0,50,290
859680000.0,945993600.0,0.014681474604032019,-0.004892774203341332,-247.7967669887104,247.8114484633144,-199.46716834042383,129.50904610138056,51.99839907051978,17.95483039432012,277.04894192152426,1.7968916615382278,0.0,100,290
859680000.0,945993600.0,-0.005915902311699028,-0.001817196083521821,-247.85853659474068,247.85262069242896,-198.67712763440719,126.97799033706863,55.02124148921453,16.67607861204047,277.9500423659663,1.900902421889635,0.0,150,290
859680000.0,945993600.0,-0.016311716894392703,-0.0006468189677839575,-247.9131330609143,247.89682134401988,-197.99970784323742,125.14162178624584,56.64112093009506,16.216318307928752,278.5478825223338,1.9569566925472777,0.0,190,290
859680000.0,945993600.0,-0.023513516729309455,-0.0008885342276894194,-247.94007427097182,247.9165607542425,-197.66549529979017,124.12875937885003,58.53682546135025,14.999021925362179,278.929813229741,2.022073853247341,0.0,220,290
859680000.0,945993600.0,-0.0362880046624241,-0.0033519954239409344,-247.98898504795125,247.9526970432888,-197.06575684144627,122.51157720730413,60.0094712118696,14.5413564268486,279.4522370329575,2.068383573446261,0.0,270,290
859680000.0,945993600.0,-0.09800980486991763,6.592650002978928e-05,-248.00698811195699,247.908978307087,-196.82404997254818,121.3953816054021,63.05106729825743,12.377666995388715,280.35661447619464,2.18240494028936,3.889296777241893e-13,405,290
859680000.0,945993600.0,-0.13004690160195764,-0.004258073542985129,-248.0973453055351,247.9672984039331,-195.7288781044065,118.61687499354488,65.57089979397644,11.5368452433422,281.2410402096276,2.2759204699999063,4.57855475685165e-13,540,290
859680000.0,945993600.0,-0.1509785863295008,-0.0017991681320914663,-248.18244083387987,248.0314622475504,-194.7025304771377,116.18570418223058,67.79713731456366,10.717889812211414,282.0483586666829,2.3548859168232585,4.313092749583233e-15,675,290
859680000.0,945993600.0,-0.1480260576587682,-0.0007525064634279487,-248.1616323801782,248.01360632251945,-194.92739144658242,116.01476670971664,68.85790906478206,10.05396316562026,282.0666913684528,2.3766462605320866,6.170531066413881e-15,756,290
859680000.0,945993600.0,-0.2070126642922503,-0.010178772908906451,-248.3225464441444,248.11553377985214,-192.99821687057437,111.60128967632934,72.78474664693327,8.602001774402831,283.50793286469866,2.508190157933716,4.136146624325069e-14,1080,290
859680000.0,945993600.0,-0.26245079922054515,-0.011347160948968591,-248.3428829555635,248.08043215634297,-192.78069321651668,111.50187621643306,73.78787129249139,7.479598546643263,284.0532078270477,2.543890008826049,2.2204856485714622e-13,1215,290
