# This is a dataframe of the used to calculate anomalies 
# for the diagnostic group,
# for varying co2 profiles. Used for:
# 
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-92.42336100703434,-37.6571088891921,-209.17585296934848,-274.501861107881,116.75249196231414,236.84475221868888,125.66371417426402,-33.2403531570452,285.3859648476164,0.0,8.086250912103879e-06,100,320
-93.91709675338777,-38.49502084733098,-209.04171791890573,-274.5125422878481,115.12462116551796,236.0175214405171,126.5535602364697,-32.636463472919615,285.47609538549676,0.0,8.086250912103879e-06,150,320
-95.34042285356571,-39.25273194692119,-208.90878440127022,-274.52287844878197,113.56836154770451,235.27014650186078,127.40322577670045,-32.06280291289972,285.56171422647805,0.0,8.086250912103879e-06,220,320
-96.22436240807812,-39.72415920718433,-208.81830524251566,-274.52981240149927,112.59394283443754,234.80565319431494,127.93176320687053,-31.707400788632693,285.61475799501073,0.0,8.086250912103879e-06,270,320
-99.2133467291867,-41.21608886586816,-208.5146366654368,-274.55202808046283,109.3012899362501,233.33593921459467,129.72384805319953,-30.5105013138089,285.79339524663203,0.0,8.086250912103879e-06,540,320
-102.7515255235887,-42.941593679672906,-208.15569104930947,-274.5773312354804,105.40416552572077,231.6357375558075,131.8548476133852,-29.103322079644187,286.00341675321414,0.0,8.086250912103879e-06,1080,320
-103.26159965079643,-43.18882993972545,-208.10189947728134,-274.5811854787766,104.84029982648491,231.39235553905115,132.16291392976362,-28.901314268776613,286.0335664198307,0.0,8.086250912103879e-06,1215,320
