# This is a dataframe of the used to calculate anomalies 
# for the 320solar varing-co2 qRadCst group,
# Used for:
# 
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-93.60146979066965,-0.2910436588810512,-205.5036356811568,-274.71005500101376,111.90216589048714,274.4190113421327,81.38174419239907,11.963553908658037,286.2638773518006,1.6827699997276988,0.0,2.0,320
-94.85029696916797,-0.34579057690609716,-205.48778740636777,-274.6994375960266,110.6374904371998,274.3536470191205,84.16546703994126,10.960969905298635,287.08641132005937,4.041411703015252,1.620464664242016e-11,5.0,320
-95.63295736441032,-0.3938223557005358,-205.46028064347072,-274.6901966110294,109.82732327906041,274.2963742553289,85.55165445155302,9.789138489238383,287.7261827343603,1.7539013066120923,0.0,10.0,320
-95.72845952749955,-0.42162485743284606,-205.41283450676443,-274.6813275471346,109.68437497926487,274.2597026897017,86.53791277553512,8.921743968486318,288.36842030196516,1.892031053947829,0.0,20.0,320
-95.2823067666738,-0.46297155591338424,-205.28627734719532,-274.67375467051625,110.00397058052152,274.21078311460286,87.49139959955063,7.790048532118306,289.2334450109906,3.0231150874030392,4.460421508853264e-12,50.0,320
-95.18144196413172,-0.4841767716981735,-205.12012899548384,-274.67577288634567,109.93868703135212,274.1915961146475,88.07486402661581,7.0958670065197165,289.96398252165244,3.0130749052807198,3.2764905950872522e-12,100.0,320
-95.38346746358488,-0.5038109955775099,-204.98852009425374,-274.68011547987777,109.60505263066887,274.17630448430026,88.769055903013,6.615509959243625,290.4374409441992,3.070622130009949,3.847253083638622e-12,150.0,320
-95.5847029459486,-0.5164476376816651,-204.90671342034994,-274.6834052558368,109.32201047440134,274.16695761815515,89.24094231889819,6.3441468024051595,290.7276486686556,3.0883374624032407,6.759946829930956e-12,190.0,320
-95.73797430977149,-0.5246777961430098,-204.85385670381336,-274.6857699137047,109.11588239404188,274.1610921175617,89.5535185269555,6.183466722804834,290.91188233973975,3.0986094774342816,6.56386928534827e-12,220.0,320
-95.98252616335176,-0.5371120448733109,-204.7800573152779,-274.6890467241066,108.79753115192614,274.1519346792333,90.02507774494168,5.954847112280145,291.1796541287632,3.107021833821821,6.226438155428571e-12,270.0,320
-96.58294408567482,-0.5626229202922559,-204.62288208967826,-274.69666157703284,108.03993800400343,274.1340386567406,91.03831493171562,5.541676355678124,291.7357336891192,3.134253605683151,8.574591720542926e-12,405.0,320
-96.93439285852335,-0.5696977530768095,-204.50471698498748,-274.7025324521918,107.57032412646413,274.132834699115,91.392217259037,5.542596525656765,292.1660858237757,3.1607656037085485,4.33040168914409e-12,540.0,320
-97.39692018890443,-0.5870571683084336,-204.4114159385526,-274.7075773859732,107.01449574964818,274.12052021766476,92.09972600508134,5.296583360129277,292.49684335913986,3.18193429097077,4.605306733522662e-12,675.0,320
-97.65833126338777,-0.5964918778182664,-204.36284921795618,-274.7101498209789,106.70451795456842,274.11365794316066,92.48443958906886,5.1740200414019,292.6723748064242,3.1979008302949374,3.0793178124609656e-12,756.0,320
-98.66190429385082,-0.6303980779914014,-204.18632961330317,-274.7212706279604,105.52442531945235,274.090872549969,93.86505205900365,4.797949402478615,293.25948164671104,3.251189630161038,1.1289411383646781e-14,1080.0,320
-99.02144999529594,-0.6420512926428614,-204.12535044328905,-274.72517226016254,105.10390044799311,274.0831209675197,94.34454546986568,4.675972138268391,293.45586765002946,3.25500585609008,1.5929998121770827e-14,1215.0,320
