# This is a dataframe of the used to calculate anomalies 
# for the diagnostic group,
# for varying q profiles. Used for:
# 
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-95.10999014951446,-35.35832591906549,-211.35192682155727,-274.29591923700684,116.24193667204281,238.93759331794135,129.02114664155195,-33.91115648189182,285.2858474485785,0.0,6.1486344887733805e-06,100,320
-95.67065466873922,-37.429019721922515,-210.1363517351268,-274.40824816166923,114.46569706638758,236.97922843974672,128.54278270078456,-32.872128021878346,285.44092245057936,0.0,7.0429189918489954e-06,150,320
-96.03624674663445,-38.917559047636615,-209.2766429711691,-274.4874989415679,113.24039622453466,235.56993989393126,128.1549204110875,-32.11867365427131,285.5533755180948,0.0,7.713632369155708e-06,220,320
-96.22436240807812,-39.72415920718433,-208.81830524251566,-274.52981240149927,112.59394283443754,234.80565319431494,127.93176320687053,-31.707400788632693,285.61475799501073,0.0,8.086250912103879e-06,270,320
-97.38866944215445,-45.31131314223114,-205.74827592589813,-274.81210866062094,108.35960648374368,229.5007955183898,126.17024260745166,-28.781573155161954,286.05143778153837,0.0,1.0873354079746769e-05,540,320
-102.2725404517852,-68.73141832021841,-195.1603442013018,-275.7873773253921,92.88780374951659,207.05595900517366,116.99256022209174,-14.720019760079712,288.1501246845418,0.0,2.7980723245652163e-05,1080,320
-101.9705431364626,-67.53438650727875,-195.62402595101753,-275.7442938094459,93.65348281455493,208.20990730216712,117.47597946035873,-15.505436313652996,288.0329012606373,0.0,2.693271404501172e-05,1215,320
