# This is a dataframe of the used to calculate anomalies 
# for the diagnostic group,
# for varying co2 profiles. Used for:
# 
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-64.40616696520507,-26.865691694820867,-209.1758529693586,-274.50186110790685,144.76968600415353,247.63616941308598,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,100,320
-66.44739494769121,-28.0014186431971,-209.04171791889863,-274.51254228784745,142.59432297120742,246.51112364465035,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,150,320
-68.40259062998035,-29.042331354003096,-208.9087844012824,-274.52287844876,140.50619377130204,245.48054709475693,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,220,320
-69.62459729967372,-29.690059169341936,-208.8183052425008,-274.5298124014852,139.19370794282707,244.83975323214324,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,270,320
-73.7662783759661,-31.772793756611605,-208.5146366654541,-274.55202808048153,134.748358289488,242.77923432386993,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,540,320
-78.66990866358589,-34.207810987527495,-208.15569104930364,-274.577331235457,129.48578238571776,240.3695202479295,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,1080,320
-79.3781595983454,-34.55747268853378,-208.10189947726366,-274.5811854787882,128.72373987891825,240.02371279025442,193.32545906180505,5.530318419092429,291.1724877424441,0.0,8.08625091210388e-06,1215,320
