# This is a dataframe of the used to calculate anomalies 
# for the 320solar varing-co2 cst-q-rad group,
# using a multiple timesteppers. Used for:
# - ??
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-93.62456878551299,-0.3083115044289002,-205.5035608538897,-274.7100655271597,111.8789920683767,274.4017540227308,81.85591683246619,12.024388375361662,286.2635069972418,3.958061148652686,2.0623392533648324e-11,2.0,320
-94.85774602287466,-0.3458777245913893,-205.48778895659427,-274.69943672656655,110.63004293371961,274.35355900197516,84.1879367529778,10.94419777440406,287.08605646358325,4.04125647068703,1.615104322036316e-11,5.0,320
-95.65896543494412,-0.412518992967307,-205.46020727014624,-274.6902017787839,109.80124183520212,274.2776827858166,86.0996728859782,9.850173262191154,287.7260172528626,4.176831781514242,1.017995625105979e-11,10.0,320
-95.75246882100231,-0.43880846617304314,-205.4127752179503,-274.681333954602,109.66030639694799,274.24252548842895,87.04608685390865,8.975270862805052,288.3683971213264,4.107205658071169,8.109710359216203e-12,20.0,320
-95.28658658294825,-0.46268062743462224,-205.28627204938545,-274.67375353489433,109.9996854664372,274.2110729074597,87.51515620777207,7.770129381065952,289.23378814665205,3.0237142924445686,4.358339544121843e-12,50.0,320
-95.18513522887409,-0.48460399657699327,-205.12012782307082,-274.6757706854098,109.93499259419673,274.1911666888328,88.10826143093534,7.078321717278179,289.964403883148,3.046975471815056,3.347120555423622e-12,100.0,320
-95.38684984330459,-0.5036006108695119,-204.98851541025013,-274.68011450937485,109.60166556694554,274.17651389850533,88.79283336103396,6.596689285871495,290.437787816868,3.0734328160120876,3.6808968444686945e-12,150.0,320
-95.58778324596241,-0.5161408601488233,-204.90671361735141,-274.68340446438873,109.318930371389,274.1672636042399,89.26032331603297,6.325880452687526,290.72797120033323,3.077983357830164,6.40579858878894e-12,190.0,320
-95.7408935893838,-0.5244229566383183,-204.85381936826474,-274.68577006681295,109.11292577888094,274.16134711017463,89.574488015476,6.165342175678242,290.91222434160073,3.092928172460222,6.209851238610526e-12,220.0,320
-95.98547955850998,-0.5368958502272108,-204.78005166468924,-274.68904624571553,108.79457210617926,274.1521503954883,90.0460299059674,5.936661236725502,291.1799534830961,3.1008108339427007,5.843894136678437e-12,270.0,320
-96.58582171114503,-0.5625385839043702,-204.6228790834431,-274.69666101287726,108.03705737229808,274.1341224289729,91.06296299427237,5.522561602659953,291.7361542995965,3.1437737150957843,8.881333505777178e-12,405.0,320
-96.9395868484824,-0.5692608528383403,-204.50473972004704,-274.70253634458413,107.56515287156464,274.1332754917458,91.41563029785542,5.523895838498483,292.1652101213901,3.1578041306032407,4.619563058136714e-12,540.0,320
-97.39969985599097,-0.587291163220641,-204.41141846713444,-274.7075763068859,107.01171861114346,274.1202851436653,92.1234906528558,5.275823998343553,292.497429541613,3.1853452109429155,4.826857719818067e-12,675.0,320
-97.66141748405576,-0.596439673074201,-204.3628516663479,-274.71014953076343,106.70143418229213,274.11370985768923,92.50789775216106,5.15336246709916,292.6728209278144,3.194622239618562,2.9973665308590606e-12,756.0,320
-98.66436064996523,-0.6304288075912154,-204.18635112735578,-274.72127016813505,105.52199047739055,274.09084136054383,93.88732835605445,4.776947839009765,293.2600252206006,3.244970222280243,6.003630220068825e-15,1080.0,320
-99.0239648001644,-0.642070352993585,-204.12535459539347,-274.72517170182834,105.10138979522907,274.08310134883476,94.36781020321614,4.655181528280784,293.4563461776911,3.2539972002831012,1.5918835205710698e-14,1215.0,320
