# This is a dataframe of the used to calculate anomalies for the 320solar varing-co2 group. Used for:
# - ??
NETsurf,NETtoa,SWsurf,SWtoa,LWsurf,LWtoa,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
-76.6273404918997,-0.10071977585596414,-217.4391704033443,-273.6976780466528,140.8118299114446,273.59695827079685,62.95170312210417,13.682868904139132,280.61164991208466,2.1835872311621025,0.0,2.0,320
-81.53583409050134,-0.26521197546190933,-215.43998454375676,-273.85832252151374,133.90415045325543,273.59311054605183,69.85966603141274,11.775497517670804,282.45467392016224,2.9453472364628803,0.0,5.0,320
-84.96231148687318,-0.33428538174024425,-213.33618975969807,-274.0263211556657,128.3738782728249,273.69203577392545,74.82529863357078,10.305230167802014,284.0001279038749,3.3606910959015543,1.7205940125632239e-18,10.0,320
-86.30772505462403,-0.2301613481212712,-212.60553979157012,-274.07221314883833,126.2978147369461,273.84205180071706,75.5179144022773,10.797327776375171,284.9604820623405,2.603866548445285,0.0,20.0,320
-87.86331341393347,-0.3493959929643893,-210.47065766912968,-274.2382648431931,122.60734425519621,273.88886885022873,79.7368408024432,8.128079338385033,286.98551493960554,2.7469780151252263,0.0,50.0,320
-91.26298228676703,-0.43691589564537026,-207.75582947157832,-274.4554155916907,116.4928471848113,274.01849969604535,84.46301120246812,6.8053423547416525,288.8999761206936,2.9352101106057766,0.0,100.0,320
-93.06702837556668,-0.4825093130135656,-206.38530500888055,-274.5650214014249,113.31827663331387,274.0825120884113,86.68719345897061,6.380093598989563,290.01026128365197,2.998843355227547,1.4453917793567318e-12,150.0,320
-94.16435755769191,-0.5002652324093901,-205.78585104024552,-274.6107836291186,111.6214934825536,274.1105183967092,87.97047677254125,6.195292008129315,290.4513750650169,3.04212362664954,3.576645901909844e-12,190.0,320
-94.97351624691441,-0.5204741256737861,-205.29178885802276,-274.64996356254204,110.31827261110834,274.12948943686825,88.91591877375407,6.05566863196015,290.80267695971014,3.0719082475567165,4.737147322385231e-12,220.0,320
-95.99630865787859,-0.5399575529086178,-204.75153036246635,-274.69138522231873,108.75522170458777,274.1514276694101,90.06368469157432,5.9301627564535,291.19212269021705,3.1100587395880397,6.345053966488708e-12,270.0,320
-98.32713587590212,-0.5777613291101034,-203.51858588099697,-274.788022828631,105.19145000509485,274.21026149952087,92.37981858793299,5.949397251619558,292.1381747697969,3.1952890219414547,6.542285413605217e-12,405.0,320
-101.37797269882171,-0.6793529128042906,-201.45800162424237,-274.9594570140068,100.08002892542066,274.2801041012025,95.90116259377243,5.431467588472905,293.4645515297715,3.2496030162180407,1.587117283829351e-13,540.0,320
-104.28740293557476,-0.7408212368013096,-199.6776201434985,-275.1095609835252,95.39021720792374,274.3687397467239,99.2012576523919,5.084065533608567,294.56688449401287,3.440260095682023,5.307041195444038e-12,675.0,320
-105.52498393850453,-0.8581758601829392,-198.99350027534774,-275.1667020504031,93.46851633684321,274.30852619022016,100.42511747522815,5.00778172460834,294.9946744832958,3.4618646986839203,6.519467449414923e-12,756.0,320
-120.0328401694872,-1.9542178939817063,-191.42705753943102,-275.829914977107,71.39421736994382,273.8756970831253,115.73936491696702,3.635966955334799,299.59516783604477,3.9843638549176057,6.277869983553703e-12,1080.0,320
-119.9438765008129,-1.1466359045360832,-191.74380394717286,-275.7976996888942,71.79992744635996,274.65106378435814,116.32041395280459,3.6668596883614053,299.6206360148766,4.019662953530531,4.964317418283299e-12,1215.0,320
