# This is a dataframe of the used to calculate anomalies for the 320solar varing-co2 cst-q-rad group. Used for:
# - ??
STARTtime,ENDtime,NETtoa,NETsurf,SWtoa,LWtoa,SWsurf,LWsurf,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
859680000.0,945993600.0,-0.3107638444691929,0.2624198766657741,-274.7102993977703,274.39953555330106,-205.50373715633629,111.90581142672869,81.88225017309547,11.9780954331779,286.28835134964345,3.997570927998705,2.2523547596868265e-11,2,320
859680000.0,945993600.0,-0.34758268435905393,0.27983405495197466,-274.69970304789786,274.3521203635388,-205.4868591036201,110.65812956031272,84.20673990407273,10.90182369418666,287.1109620471871,4.065223204769056,1.6433680333282898e-11,5,320
859680000.0,945993600.0,-0.4147136124460076,0.2988158057557957,-274.6904217033344,274.27570809088843,-205.4596932712085,109.83098415989662,86.11780041261993,9.809724504447743,287.75139107035073,4.217140745171246,1.0670757119660477e-11,10,320
859680000.0,945993600.0,-0.4325308582686489,0.014999863890489353,-274.68161052288366,274.249079664615,-205.41141307340112,109.69744106388657,86.82930939061943,8.89966248278561,288.3937414557317,3.0600846743700103,4.4795719573778674e-12,20,320
859680000.0,945993600.0,-0.4635450979274651,-0.0010224867177628383,-274.6739838486597,274.21043875073224,-205.28589707405732,110.02688164200615,87.5235685442947,7.734424401038648,289.2594738024648,3.01533448863421,4.5200663887220334e-12,50,320
859680000.0,945993600.0,-0.4857089385056384,-0.0043321562117801795,-274.676042853323,274.1903339148174,-205.11867779995308,109.96264377434328,88.10702056068851,7.044681308709523,289.9900133386298,3.0263373552928536,2.820418964068603e-12,100,320
859680000.0,945993600.0,-0.5051269046692255,0.0013744458799465065,-274.6803857316521,274.17525882698294,-204.98732446221672,109.63176017926651,88.79092959901024,6.566009129819933,290.46408646326074,3.0738734864186665,3.853267209390907e-12,150,320
859680000.0,945993600.0,-0.517547847589924,-0.0021695960009635584,-274.683685851837,274.1661380042471,-204.90476544414818,109.34738278446328,89.26031529202875,6.294897771655233,290.7546981105973,3.081925467258042,5.7349526495600645e-12,190,320
859680000.0,945993600.0,-0.5257011656813688,-0.00029446416475753523,-274.6860440772092,274.16034291152783,-204.8520774560553,109.14172536698145,89.57629609542738,6.1337615294817684,290.93951389796797,3.0943282080727674,5.7909344832997105e-12,220,320
859680000.0,945993600.0,-0.5381306885505523,-0.0009977188993115504,-274.68932581563894,274.1511951270884,-204.7785461729192,108.82644403249702,90.04528966997921,5.905814751543633,291.20764173398516,3.1118428828201967,5.8056782374796845e-12,270,320
859680000.0,945993600.0,-0.5635727197311553,-0.0027060536357703673,-274.69694683158866,274.1333741118576,-204.62160876973087,108.0661800232366,91.05620697126128,5.496515721597212,291.7631913283813,3.1370653371997785,8.573624207438904e-12,405,320
859680000.0,945993600.0,-0.5705853102551828,4.1197834196538004e-05,-274.702798806886,274.13221349663075,-204.5038891177988,107.58883113877765,91.41804348577631,5.49705569107903,292.1893182839778,3.1567118781964307,5.2397147690387586e-12,540,320
859680000.0,945993600.0,-0.5889275040365761,-0.00010359813639748694,-274.707826957123,274.11889945308644,-204.41052833325435,107.03893312501741,92.1252525059022,5.2462391041983185,292.5243052282011,3.1836368843534686,4.423146410255574e-12,675,320
859680000.0,945993600.0,-0.5985769201726043,-0.00031799138046206815,-274.7103989311067,274.1118220109341,-204.36168410455625,106.73054445265116,92.51045395595457,5.120367704570065,292.7026103102995,3.1966739423745607,2.8080688532352002e-12,756,320
859680000.0,945993600.0,-0.6320992309962321,0.00012197549510695183,-274.7215628413135,274.0894636103173,-204.1854067971627,105.54732189760232,93.88943171032305,4.748775164732409,293.28654172544395,3.2464301149954515,4.1472416146057175e-15,1080,320
859680000.0,945993600.0,-0.6438014754328947,-0.0009128166820220328,-274.7254459146788,274.0816444392459,-204.1249325093599,105.12749572643885,94.36920019277638,4.627323773462659,293.4828119319268,3.255579836354052,2.9004026320269515e-15,1215,320
