# This is a dataframe of the used to calculate anomalies for the varying-solar group. Used for:
# - ??
STARTtime,ENDtime,NETtoa,NETsurf,SWtoa,LWtoa,SWsurf,LWsurf,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
859680000.0,945993600.0,0.0886896109879558,0.003472237840542292,-169.2633186205821,169.3520082315701,-154.47579723500047,137.56649172082072,5.343559695826791,11.569218056193499,244.51525029875424,0.0,2.13742371201659e-09,270,200
859680000.0,945993600.0,0.1040719648529489,0.0008223288577013933,-173.47794282543725,173.58201479029017,-157.98565312258557,140.0057117806856,6.424718337137617,11.556045333620029,246.3990537157004,0.0,2.5698870558581816e-09,270,205
859680000.0,945993600.0,0.12474826786322525,-0.001467566416737398,-177.95995282507496,178.0847010929382,-161.6723956539521,142.49236699269952,7.78216723264842,11.396393862187422,248.39146850924874,0.0,3.112866475571985e-09,270,210
859680000.0,945993600.0,0.16878509199020186,0.015721961931829398,-182.18090935592878,182.3496944479189,-165.11535383730197,144.72621910891849,9.283721368756584,11.121135321558757,250.2555421122279,0.0,3.7134883826894446e-09,270,215
859680000.0,945993600.0,0.15916439897608825,0.004058766870773667,-186.8395324653896,186.99869686436568,-163.52215594999896,126.381888947699,10.219874300527714,26.924451468643042,253.48366030451493,0.3089582245117352,5.002687582477639e-10,270,220
859680000.0,945993600.0,0.1724364393530209,0.00855329929170878,-191.03567367471953,191.20811011407253,-167.22418805991282,128.60326022020098,11.547107669127927,27.082373469875595,254.7772022726173,0.3997177996170949,0.0,270,225
859680000.0,945993600.0,0.1712441673093963,0.016156970970865103,-195.2374592429697,195.4087034102791,-170.86664246098908,131.0975569422447,13.216232737387273,26.56900975232801,256.2963475812604,0.4568203988382602,0.0,270,230
859680000.0,945993600.0,0.19109944726864114,0.010975672012545346,-199.5612432673612,199.75234271462986,-173.07548841934138,130.63818566948692,15.765709556357315,26.68256886550973,258.5736011885264,0.5448632004830323,0.0,270,235
859680000.0,945993600.0,0.21378474156261973,0.00881659355295028,-204.11819516795813,204.3319799095208,-175.85379291483062,130.82018068813377,18.377209476666028,26.6652193435838,260.5303342449384,0.6351166687855704,0.0,270,240
859680000.0,945993600.0,0.1863534326556362,0.008750095923684142,-208.36513749577855,208.55149092843413,-178.96631022126897,132.0996125842641,20.56534623349443,26.31010149943413,262.2270054229441,0.7107387321614427,0.0,270,245
859680000.0,945993600.0,0.20197714116906693,0.0037946485136792774,-212.6701946690701,212.8721718102392,-181.3925410379197,131.96984211039634,23.878937296544752,25.547556279492248,264.11038881542754,0.8254057094104394,0.0,270,250
